gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
enpep	244.023565533597	-0.27935963237743	0.157939284927826	-1.76877863227689	0.0769308239771635	0.147460574516785
enpp1	1493.27360459403	-0.259029684860107	0.14247638728118	-1.8180534318919	0.0690559665613211	0.135230913871259
enpp2	361.539568575839	-0.0896363113442511	0.138627703338502	-0.646597391326441	0.517892546800814	0.642599153147587
enpp4	79.854533189443	-0.307757801044786	0.287232995951975	-1.0714569892111	0.283964000087433	0.412044407385785
enpp5	321.431797350544	-0.742820065999733	0.136815344342895	-5.42936225148864	5.6555784973519e-08	6.6994979391973e-07
enpp6	489.709552646059	-0.115032793376013	0.122588415153093	-0.938365939655518	0.348056383505556	0.478722747651928
ensaa	14.6163110662889	-0.530065112520667	0.544317659054903	-0.973815755750084	0.330148028584996	0.461060706451
ensab	238.092114296381	-0.529642958663179	0.193528879743697	-2.73676445275052	0.00620467020811972	0.0181946331284159
entpd1	1796.96892317167	-0.0941109306506846	0.128832866865851	-0.730488523155188	0.465091625719834	0.596012404819686
entpd2a.1	60.5931974997245	0.107653260413939	0.264645438256351	0.406782981498664	0.684167387261517	0.779811367374573
entpd3	1416.66479756229	-0.570856227143579	0.182032640839757	-3.13601024799779	0.00171263219033711	0.00611946752759323
entpd4	915.098403533997	-0.0776461817794322	0.198313077584104	-0.391533340742508	0.69540304928012	0.788318342956602
entpd6	1051.04128214787	0.267524389633381	0.0961157367917141	2.78335680049059	0.00537996056661136	0.0161410553387011
entpd8	20.242364002405	0.322645543445557	0.42107519147554	0.766242110619095	0.443532256193239	0.575289663696405
eny2	780.611295944775	0.322131027290835	0.121042456318671	2.66130609942971	0.00778381587541126	0.0220723339658827
eomesa	613.763585431707	-0.519604243726401	0.23770280864126	-2.18594069921397	0.0288199441290366	0.0655792011261814
eomesb	21.7810521379758	-0.61339305282506	0.456924514068083	-1.34243848587573	0.1794538631173	0.289674762846506
epas1b	444.091948144438	-0.989116882742163	0.136431676644962	-7.24990637853226	4.17059809886416e-13	1.28894911581301e-11
epb41b	979.237031419489	-0.07555589165963	0.503007435070156	-0.150208299901356	0.880600277816647	0.92470761401942
epb41l3a	1595.94579507362	-0.868866523186591	0.113720264145797	-7.64038432123802	2.16574300729437e-14	8.25082093609958e-13
epb41l3b	3182.85118658359	0.0819319114262035	0.165417540960487	0.495303647669231	0.620385796479428	0.72742834015741
epb41l4a	827.959791963503	-0.175975099295667	0.182328133759853	-0.965156038548866	0.334466662260784	0.465155223589096
epb41l5	1673.70320899596	0.226030422376939	0.0843666914675881	2.67914289923026	0.00738108864894204	0.0211087777477438
epc1b	1521.69936698204	-0.396235325100734	0.195450390183832	-2.0272935998135	0.0426323956645671	0.0910298614461715
epc2	1597.57888699273	-0.0345186721988277	0.102410800784155	-0.337060856223363	0.736071024751031	0.818895389370727
epcam	7666.03848991204	0.288942216001295	0.153414861791744	1.88340433662499	0.0596455931069308	0.119630427592186
epd	220.113376696978	-1.31162772916855	0.289534650254474	-4.5301235206762	5.89492116856222e-06	4.36110009850652e-05
epdl1	543.156129700969	0.544271800974724	0.336734825725716	1.61632168517686	0.106024780708983	0.190933456735714
epdr1	386.21851639111	0.0769433909649843	0.140106695557234	0.549177115761413	0.582883907439539	0.69665783499968
epg5	826.135863796648	-0.594455546148739	0.161193929936496	-3.68782835918779	0.000226176127303704	0.00106163832041223
epha2a	1118.19506440431	0.0135929437743048	0.199829441186583	0.0680227282506031	0.945767541658268	0.965709481062154
epha4a	1692.9380022273	-0.199017385883395	0.192651974695601	-1.03304098594293	0.3015847185802	0.430929312689194
