Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by MET	7/79	3.215478543877386e-4	0.00910227772420675	0	0	5.917572463768116	47.591272804055805	COL1A1;COL2A1;COL1A2;LAMA2;COL11A1;COL11A2;COL5A2
Opsins	3/9	3.4424309675605585e-4	0.00938381182268359	0	0	30.161042944785276	240.5090568135206	OPN1SW;OPN4;RHO
Transport of Inorganic Cations Anions and Amino Acids Oligopeptides	8/107	3.911947714364142e-4	0.01028283399204288	0	0	4.927027282167469	38.65895872698552	SLC8A3;SLC12A3;SLC32A1;SLC5A12;SLC16A10;SLC17A7;SLC1A7;SLC8A2
The Canonical Retinoid Cycle in Rods (Twilight Vision)	4/22	4.160891322085426e-4	0.01056005521743059	0	0	13.437948717948718	104.60920422066911	RDH8;DHRS9;RHO;RLBP1
RUNX2 Regulates Osteoblast Differentiation	4/24	5.889595028005601e-4	0.01401595924887134	0	0	12.092923076923077	89.93692074301802	COL1A1;UCMA;SP7;RUNX2
NCAM1 Interactions	5/42	6.032589864452009e-4	0.01401595924887134	0	0	8.189022355689023	60.70656536904893	COL2A1;COL5A2;COL9A1;CACNA1S;COL9A2
Signaling by Receptor Tyrosine Kinases	20/536	6.093895325596237e-4	0.01401595924887134	0	0	2.402724467524648	17.787496260787183	PTPRU;MEF2C;EGR2;LAMA2;EGF;COL11A1;SRF;COL11A2;IRS2;DNM1;THBS4;COL1A1;FGF6;COL1A2;COL2A1;MAPKAPK2;COL5A2;COL9A1;SPRY1;COL9A2
Vasopressin Regulates Renal Water Homeostasis via Aquaporins	5/43	6.735438777260288e-4	0.01502206951534415	0	0	7.973115659519168	58.227324129704726	GNGT2;GNB3;AQP4;ADCY1;ADCY7
SLC-mediated Transmembrane Transport	12/249	9.05658105886981e-4	0.01890049577822221	0	0	3.1041009463722395	21.749965648824087	SLC8A3;SLC13A2;SLC12A3;SLC32A1;SLCO4A1;SLC5A12;APOD;SLC16A10;SLC17A7;RHCG;SLC1A7;SLC8A2
Cholesterol Biosynthesis	4/27	9.35687924243104e-4	0.01890049577822221	0	0	10.513979933110368	73.32689903783786	MSMO1;DHCR24;LSS;FDFT1
Syndecan Interactions	4/27	9.35687924243104e-4	0.01890049577822221	0	0	10.513979933110368	73.32689903783786	COL1A1;COL1A2;COL5A2;CASK
High Laminar Flow Shear Stress Activates Signaling by PIEZO1 and PECAM1 CDH5 KDR in Endothelial Cell	6/69	9.501607931986708e-4	0.01890049577822221	0	0	5.781512605042017	40.23284857315099	GNGT2;CAPNS2;GNB3;ADCY1;ADCY7;VCL
Passive Transport by Aquaporins	3/13	0.00111612363214555	0.02161755245418756	0	0	18.092944785276075	122.99391427866364	AQP8;AQP6;AQP4
EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination	4/29	0.00123398557574197	0.02328752266015617	0	0	9.671876923076924	64.77745413552555	DRP2;EGR2;MAG;LAMA2
Glycogen Breakdown (Glycogenolysis)	3/14	0.00140329277530401	0.02582058706559391	0	0	16.44729503625209	108.04119263717648	PHKG1;GYG2;GYG1
