Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pectoral fin morphogenesis (GO:0035138)	1/32	0.6154413443884614	0.7593752071889887	0.5700507859672249	0.7005443393814089	-0.9376461675305446	0.45514811019145746	dhrs9
regulation of intracellular pH (GO:0051453)	1/37	0.6688292173310678	0.7942887729753173	0.6217607457372102	0.7355365523025245	-1.1291783327504163	0.45418548475233383	slc4a11
regulation of heart contraction (GO:0008016)	1/33	0.6267654874995576	0.7681852036376421	0.5809273484180876	0.7082221857208558	-0.9660637921989907	0.4513284177912022	plekha7a
mitotic cytokinesis (GO:0000281)	2/49	0.4245137659894996	0.674227745983323	0.36969929054784745	0.6036812290806336	-0.5259139148798877	0.4506087458273603	sept8b;zgc:172075
epithelial cell differentiation (GO:0030855)	1/35	0.6484248059494782	0.7791282354209698	0.6018651150869202	0.7222381381043044	-1.0208315473110037	0.4422336513078812	pck1
establishment of protein localization to vacuole (GO:0072666)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-0.7172888793536752	0.4420899540002077	cacng7a
negative regulation of translation (GO:0017148)	1/35	0.6484248059494782	0.7791282354209698	0.6018651150869202	0.7222381381043044	-1.0156107849218654	0.43997196883926915	gra
detection of mechanical stimulus (GO:0050982)	1/17	0.39800154788837583	0.6636986081314468	0.36875409857853614	0.6036812290806336	-0.4773655507610304	0.4397965881160139	cdh23
regulation of smoothened signaling pathway (GO:0008589)	1/33	0.6267654874995576	0.7681852036376421	0.5809273484180876	0.7082221857208558	-0.9380145972962134	0.4382243154969098	ptch1
retinoid metabolic process (GO:0001523)	1/19	0.43290880166649787	0.6789935596174254	0.40024236066592733	0.6111096107011297	-0.5161755641949405	0.432156734815073	dhrs9
autophagy of mitochondrion (GO:0000422)	1/36	0.6587792368814052	0.7864230682147334	0.6119399064910384	0.7276694742989291	-1.030777125765048	0.4302121481732377	zgc:92606
cell migration involved in gastrulation (GO:0042074)	3/79	0.4113654556035536	0.6636986081314468	0.34185492158413233	0.6011931379583016	-0.4764942592504447	0.4232571153228207	prickle1a;bcl2l16;ptger4a
heart looping (GO:0001947)	4/115	0.43894977651839406	0.6799508593324456	0.3528105651554548	0.6036812290806336	-0.5137784393182169	0.4230298957633314	prickle1a;dhrs9;lmo7b;tbx16
morphogenesis of an epithelial sheet (GO:0002011)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-0.830469611575265	0.4190175572738939	ctsba
chromatin assembly (GO:0031497)	1/21	0.4657951790258774	0.6841599589532088	0.4301658485114205	0.6160565505982589	-0.5479360153346166	0.4186281958855076	zgc:113984
steroid biosynthetic process (GO:0006694)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-0.7955542298060017	0.4173992133334615	msmo1
regulation of cellular pH (GO:0030641)	1/36	0.6587792368814052	0.7864230682147334	0.6119399064910384	0.7276694742989291	-0.9849703998676343	0.41109394167007857	slc4a11
phospholipid transport (GO:0015914)	1/34	0.6377567176635811	0.7754445918081688	0.591529831600737	0.7154471481020772	-0.9119826414191696	0.4102083225733694	zgc:162608
positive regulation of programmed cell death (GO:0043068)	2/40	0.32967210750384396	0.6412451541545819	0.28620654837382475	0.58694553693977	-0.36451924042565426	0.4044912291210672	bcl2l16;bbc3
digestive system development (GO:0055123)	3/86	0.46573770459055214	0.6841599589532088	0.39014765704421017	0.60910807681392	-0.5203712739221499	0.39763269041845273	dhrs9;ptger4a;tbx16
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	2/57	0.5026584978655122	0.7052254033646167	0.4405723928906846	0.6240226573173957	-0.5763857353402508	0.39646362544714536	igsf21a;crb2b
regulation of MAP kinase activity (GO:0043405)	1/18	0.4157153591237276	0.6636986081314468	0.38469882245334486	0.6036812290806336	-0.4473928831327114	0.39270111008056185	spry1
oligodendrocyte differentiation (GO:0048709)	1/33	0.6267654874995576	0.7681852036376421	0.5809273484180876	0.7082221857208558	-0.8379463457613917	0.3914741464076203	ihhb
regulation of Rho protein signal transduction (GO:0035023)	1/39	0.6880513122738577	0.8046256110412757	0.6406659134617793	0.7473078888918848	-0.9969824808331677	0.37276363617646147	abrab
chemical synaptic transmission (GO:0007268)	7/195	0.3500074547331874	0.6471711000458088	0.24836676068483163	0.58694553693977	-0.35470510543985784	0.3723697124955088	chrna4b;gabrr3a;drd4a;nrxn2a;chrna10a;dlg4b;slc17a7a
motor neuron axon guidance (GO:0008045)	1/37	0.6688292173310678	0.7942887729753173	0.6217607457372102	0.7355365523025245	-0.9164972390617472	0.36863950602339585	nrxn2a
glial cell differentiation (GO:0010001)	1/37	0.6688292173310678	0.7942887729753173	0.6217607457372102	0.7355365523025245	-0.8951124791999665	0.3600379882272854	ihhb
ameboidal-type cell migration (GO:0001667)	6/171	0.3889037918928107	0.6636986081314468	0.2886652187414291	0.58694553693977	-0.37510223847311014	0.35425528923177885	dmxl2;prickle1a;bcl2l16;capzb;ptger4a;radil
regulation of embryonic development (GO:0045995)	1/38	0.678583684064141	0.7985785966694313	0.6313340091079096	0.7411312280831982	-0.9115361460520188	0.3534458348515415	tbx16
steroid metabolic process (GO:0008202)	1/18	0.4157153591237276	0.6636986081314468	0.38469882245334486	0.6036812290806336	-0.385300130715963	0.33819891811167097	dhcr24
cytoskeleton-dependent cytokinesis (GO:0061640)	2/49	0.4245137659894996	0.674227745983323	0.36969929054784745	0.6036812290806336	-0.3837259847110821	0.3287805852247133	sept8b;zgc:172075
positive regulation of cytosolic calcium ion concentration (GO:0007204)	3/87	0.47332949449566697	0.6931008510899835	0.39698649978498546	0.6111096107011297	-0.43867798201601427	0.32811513078116317	drd4a;tbxa2r;ptger4a
regulation of cyclin-dependent protein kinase activity (GO:1904029)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-0.5322990563205962	0.3280743255564883	ccng2
axon extension (GO:0048675)	1/38	0.678583684064141	0.7985785966694313	0.6313340091079096	0.7411312280831982	-0.8443299848448749	0.3273868158451019	col4a5
peptidyl-tyrosine phosphorylation (GO:0018108)	1/39	0.6880513122738577	0.8046256110412757	0.6406659134617793	0.7473078888918848	-0.851464625210757	0.31835569417824283	lepb
phosphate-containing compound metabolic process (GO:0006796)	2/68	0.5982683750218599	0.75205527307797	0.5304026518617181	0.6790929350196057	-0.6190245627758091	0.31800272203656377	thnsl2;pfkfb3
regulation of autophagy (GO:0010506)	1/36	0.6587792368814052	0.7864230682147334	0.6119399064910384	0.7276694742989291	-0.7590682496325075	0.3168098846218825	rragd
cellular response to DNA damage stimulus (GO:0006974)	4/122	0.48420807808207206	0.6945359619989722	0.39304476926846016	0.6111096107011297	-0.43631393326644674	0.3164325574841749	bcl6a;cry5;bcl2l16;phkg1b
cell differentiation in spinal cord (GO:0021515)	1/40	0.6972405226017717	0.811238022494837	0.6497625201946535	0.7540859589616838	-0.8748969377265855	0.3155095726518071	drd4a
exogenous drug catabolic process (GO:0042738)	1/42	0.7148161463844348	0.8233390494114319	0.667273331833448	0.7656961482788814	-0.9336036199350004	0.3134386567548291	cyp2k19
nuclear-transcribed mRNA catabolic process (GO:0000956)	1/35	0.6484248059494782	0.7791282354209698	0.6018651150869202	0.7222381381043044	-0.7074148624762425	0.3064586497609695	smg7
cellular response to acid chemical (GO:0071229)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-0.6055026720038272	0.305509373262438	rragd
muscle organ development (GO:0007517)	1/39	0.6880513122738577	0.8046256110412757	0.6406659134617793	0.7473078888918848	-0.7945791502406174	0.29708667801882777	lama2
axis elongation (GO:0003401)	1/41	0.7061594891964257	0.8174708840886744	0.6586297390102321	0.7613846118231004	-0.8508694319027793	0.29602952505219904	tbx16
embryonic organ development (GO:0048568)	5/150	0.4521783053736642	0.6827297439687892	0.3527849720660919	0.6036812290806336	-0.3680568574278416	0.29211888666523267	col2a1a;col8a1a;ptger4a;loxl5b;egr2b
skeletal muscle organ development (GO:0060538)	2/63	0.5565928418579354	0.7299317554651211	0.4907798051073666	0.6567578149979045	-0.49584531922454195	0.2905263293041618	lama2;myf6
defense response to bacterium (GO:0042742)	2/61	0.5390838783080804	0.7214649358944518	0.474354698899953	0.6460795453859894	-0.4638601105782736	0.28661178778461743	mpx;cftr
regulation of cell development (GO:0060284)	2/41	0.34048185999808805	0.6412451541545819	0.29559884108972967	0.58694553693977	-0.26462397138565535	0.2851041280362135	heyl;bhlhe41
