Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	1/21	0.3128606807727017	0.574849706135208	0.23026311056840632	0.39724780907221247	-1.6030405847619695	1.8627288262902744	cnot7
regulation of morphogenesis of an epithelium (GO:1905330)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.7657911821037229	1.8601119970455455	pigp
primitive hemopoiesis (GO:0060215)	2/56	0.26095088648273257	0.563237971574533	0.14966294394028348	0.3905853428686073	-1.3721238844552082	1.8433428727160068	gata1a;klf1
heart contraction (GO:0060047)	3/85	0.19088098079364169	0.5626483874781306	0.08577963625958664	0.3905853428686073	-1.0945584523352003	1.8127039253216777	acta2;cmlc1;tcap
cholesterol transport (GO:0030301)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.7137244008353454	1.8052640368414008	apoa1b
cell projection assembly (GO:0030031)	1/26	0.3716227239504708	0.6085995334261334	0.274770929584235	0.4297455369275924	-1.775238864518828	1.757266563311692	cdc42l2
regulation of cholesterol transport (GO:0032374)	1/12	0.19294358420157137	0.5626483874781306	0.143219388893372	0.3905853428686073	-1.065214605453872	1.752658779097171	apoa1b
DNA replication (GO:0006260)	1/26	0.3716227239504708	0.6085995334261334	0.274770929584235	0.4297455369275924	-1.7677633916482438	1.7498667712144285	poln
sodium ion transport (GO:0006814)	2/50	0.2215846392443164	0.563237971574533	0.12549492073115093	0.3905853428686073	-1.1519421406438766	1.7359199506953225	ca15a;slc13a1
regulation of hematopoietic stem cell differentiation (GO:1902036)	1/27	0.38275947951433387	0.6156842873326651	0.2833614097371991	0.4327005310851824	-1.8005843495447391	1.7291884394059762	cdca7a
inflammatory response (GO:0006954)	3/86	0.1953820037985024	0.563237971574533	0.08804182389823063	0.3905853428686073	-1.057609604364181	1.7268635267302284	tlr4ba;irg1l;mmp9
lipid biosynthetic process (GO:0008610)	1/25	0.3602856078215887	0.6031447953161412	0.26607837200613754	0.42347684558723303	-1.6501014877606122	1.6845196461827825	hsd3b2
cellular transition metal ion homeostasis (GO:0046916)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.5983884803400903	1.683767377679291	mt2
myeloid leukocyte differentiation (GO:0002573)	1/29	0.4044459713437557	0.6347554828033943	0.30024087768559576	0.4464107786641095	-1.847884114348989	1.6727732944954683	gata1a
neuron projection regeneration (GO:0031102)	1/25	0.3602856078215887	0.6031447953161412	0.26607837200613754	0.42347684558723303	-1.6327715956032238	1.6668282835472832	apoa1b
response to ionizing radiation (GO:0010212)	1/29	0.4044459713437557	0.6347554828033943	0.30024087768559576	0.4464107786641095	-1.8010137030240476	1.6303444583159867	nabp1a
cation transport (GO:0006812)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.890882821406299	1.6163073532577017	p2rx4b
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	1/29	0.4044459713437557	0.6347554828033943	0.30024087768559576	0.4464107786641095	-1.773755789650302	1.6056695833055827	cdca7a
fin morphogenesis (GO:0033334)	1/28	0.39369940562870703	0.6265920117752661	0.29185100087555593	0.4400290089348191	-1.720943967705093	1.6042081921736566	mmp9
glycolipid biosynthetic process (GO:0009247)	1/22	0.3250358306125167	0.5784102182553447	0.23937614171179808	0.4052360151825195	-1.41325061814482	1.5882391043251314	sccpdha
ubiquitin-dependent ERAD pathway (GO:0030433)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.81931034947039	1.5551279341148467	hspa5
anion transport (GO:0006820)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.8677554367343008	1.5523370290744385	slc13a1
actin polymerization or depolymerization (GO:0008154)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.4546678377488156	1.5323698091465117	msrb1a
extracellular matrix organization (GO:0030198)	3/92	0.22289478685370617	0.563237971574533	0.10213160585464046	0.3905853428686073	-0.9996346546401736	1.5005070230542847	serpinh1b;serpinh1a;mmp9
regulation of cyclin-dependent protein kinase activity (GO:1904029)	1/26	0.3716227239504708	0.6085995334261334	0.274770929584235	0.4297455369275924	-1.5145332391886115	1.4992002898560186	ccne1
recombinational repair (GO:0000725)	1/27	0.38275947951433387	0.6156842873326651	0.2833614097371991	0.4327005310851824	-1.557797807974416	1.496028753755643	nabp1a
myelination (GO:0042552)	1/35	0.465051515095078	0.650784163538623	0.3485502311153637	0.4620143025956088	-1.9190974178881797	1.4692745979421	plp1a
membrane lipid biosynthetic process (GO:0046467)	1/26	0.3716227239504708	0.6085995334261334	0.274770929584235	0.4297455369275924	-1.4818696902218602	1.4668674226652565	sccpdha
muscle cell development (GO:0055001)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-1.6241920882799716	1.428429077466411	tcap
intrinsic apoptotic signaling pathway (GO:0097193)	1/34	0.45539560221857805	0.6472918622729474	0.3407347203857855	0.4597375928787315	-1.799150564222397	1.415191651599692	chek1
spermatogenesis (GO:0007283)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-1.6060900553658228	1.4125088729768007	sycp3
organelle fission (GO:0048285)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.6847231294382352	1.4002144210795715	mxa
triglyceride metabolic process (GO:0006641)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.283305753001596	1.3518543139353034	apoa1b
convergent extension involved in axis elongation (GO:0060028)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.5838869969802534	1.3164070557229648	pigp
membrane fusion (GO:0061025)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.526717046431564	1.305022162428852	mxa
DNA-dependent DNA replication (GO:0006261)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-1.4794670709796984	1.301147689728913	poln
mRNA metabolic process (GO:0016071)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.5152967935308106	1.295260246708542	cnot7
positive regulation of Wnt signaling pathway (GO:0030177)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.5373445686007166	1.2777245100450758	grk5
epithelial cell differentiation (GO:0030855)	1/35	0.465051515095078	0.650784163538623	0.3485502311153637	0.4620143025956088	-1.6606502991681338	1.271405650327886	pth1a
protein oligomerization (GO:0051259)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.5279706338580683	1.269933604596243	hbaa1
regulation of heart contraction (GO:0008016)	1/33	0.4455658996147645	0.6434370179740369	0.33282626408350074	0.4572567518715573	-1.5653888627674728	1.2654761987005825	grk5
defense response to bacterium (GO:0042742)	2/61	0.29381923643187813	0.56824635190505	0.1704519054289289	0.3905853428686073	-1.0298442769473746	1.2613435309667853	hsp90b1;zranb2
metal ion homeostasis (GO:0055065)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.5145735079146696	1.2587989269633544	pth1a
regulation of cell death (GO:0010941)	1/34	0.45539560221857805	0.6472918622729474	0.3407347203857855	0.4597375928787315	-1.5635777231617156	1.2298926973919395	agr2
steroid biosynthetic process (GO:0006694)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-1.3926165519549376	1.2247652176905237	hsd3b2
morphogenesis of an epithelium (GO:0002009)	2/68	0.3394402149330957	0.5946782060068188	0.20028149438627632	0.3905853428686073	-1.1191177103106134	1.209159061812444	pigp;fibpb
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	2/58	0.2741083436910219	0.563237971574533	0.15791661878090854	0.3905853428686073	-0.9315997344113572	1.2057060345159012	gdf11;bmp7a
fin regeneration (GO:0031101)	2/71	0.35873090863794943	0.6031447953161412	0.21325361028453457	0.3918318367829659	-1.1739256322712956	1.2034882841150774	serpinh1b;mmp9
plasma membrane bounded cell projection organization (GO:0120036)	2/65	0.31997523938301076	0.5784102182553447	0.18741136998933156	0.3905853428686073	-1.0539415229594538	1.2009786576484296	plp1a;manf
cholesterol metabolic process (GO:0008203)	1/28	0.39369940562870703	0.6265920117752661	0.29185100087555593	0.4400290089348191	-1.2703163663087376	1.1841477466592114	apoa1b
regulation of protein serine/threonine kinase activity (GO:0071900)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.3539271042051335	1.15732308185767	ccne1
regulation of nuclear division (GO:0051783)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.3905408686437009	1.1557123798880014	ccne1
double-strand break repair via homologous recombination (GO:0000724)	1/34	0.45539560221857805	0.6472918622729474	0.3407347203857855	0.4597375928787315	-1.4673430969869723	1.1541956199679744	nabp1a
regulation of cellular pH (GO:0030641)	1/36	0.4745367023663488	0.656497446803211	0.3562738792206875	0.46812730641788	-1.5418236922881912	1.149300534103333	ca15b
regulation of intracellular pH (GO:0051453)	1/37	0.4838541741750608	0.6607313798402642	0.36390673520074246	0.4753926136148427	-1.5828205923116243	1.1490829731159908	ca15b
generation of neurons (GO:0048699)	4/145	0.25552164094925045	0.563237971574533	0.09972718881246675	0.3905853428686073	-0.832043453255201	1.1352801692652654	hes6;sox21a;her3;her13
regulation of Wnt signaling pathway (GO:0030111)	2/69	0.3458916144105009	0.5948397382577211	0.2045953511678374	0.3905853428686073	-1.057753060916787	1.12294217701277	grk5;nkd2b
heart jogging (GO:0003146)	1/36	0.4745367023663488	0.656497446803211	0.3562738792206875	0.46812730641788	-1.4735427012580442	1.098402769428574	bmp7a
glial cell differentiation (GO:0010001)	1/37	0.4838541741750608	0.6607313798402642	0.36390673520074246	0.4753926136148427	-1.5098683416667744	1.096121702916656	plp1a
determination of left/right symmetry (GO:0007368)	4/152	0.28289566910494535	0.563237971574533	0.11298560942605151	0.3905853428686073	-0.8637515106548844	1.0906392609877535	ttc9c;ubxn10;bmp7a;fibpb
cardiac myofibril assembly (GO:0055003)	1/34	0.45539560221857805	0.6472918622729474	0.3407347203857855	0.4597375928787315	-1.3789665213582256	1.0846795969547325	cmlc1
phospholipid transport (GO:0015914)	1/34	0.45539560221857805	0.6472918622729474	0.3407347203857855	0.4597375928787315	-1.3667977162455829	1.075107751358364	apoa1b
muscle cell differentiation (GO:0042692)	1/33	0.4455658996147645	0.6434370179740369	0.33282626408350074	0.4572567518715573	-1.326224488225081	1.0721332979305866	tcap
negative regulation of translation (GO:0017148)	1/35	0.465051515095078	0.650784163538623	0.3485502311153637	0.4620143025956088	-1.3953074017962406	1.0682572456565411	cnot7
ERAD pathway (GO:0036503)	1/38	0.49300688782312146	0.6671829739402722	0.3714498571270911	0.48107545966030135	-1.4886900722761285	1.052849456372882	hspa5
regulation of blood circulation (GO:1903522)	1/26	0.3716227239504708	0.6085995334261334	0.274770929584235	0.4297455369275924	-1.0636087410601924	1.0528408962124187	grk5
neuron projection development (GO:0031175)	3/112	0.318482122657661	0.5784102182553447	0.15472279974569897	0.3905853428686073	-0.8991452521484076	1.0287920487793607	apoa1b;plp1a;manf
negative regulation of cell proliferation (GO:0008285)	1/39	0.5019977485158467	0.6753064950272699	0.37890429088284655	0.48793373070953455	-1.4617887903072118	1.0074058428117394	cnot7
digestive tract development (GO:0048565)	2/74	0.37781257380999006	0.6156842873326651	0.22630503482714756	0.39724780907221247	-1.033386658979284	1.0058541824650504	gata1a;agr2
regulation of apoptotic process (GO:0042981)	9/386	0.24648908036948075	0.563237971574533	0.04389151839436446	0.3905853428686073	-0.7093360777938207	0.9933809038698518	gdf11;pimr140;gata1a;bmp7a;cidec;pimr141;prl;mcm5;cideb
negative regulation of gene expression (GO:0010629)	4/154	0.29080060499793775	0.5665597993925339	0.1169116924540474	0.3905853428686073	-0.7935142675340567	0.9800833209281872	hes6;cnot7;gata1a;her3
retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)	1/31	0.4253725939872602	0.6350735432012145	0.3167261194428844	0.4503691487580021	-1.1456918694906637	0.9793257267248838	ergic1
eye photoreceptor cell differentiation (GO:0001754)	1/41	0.5195052777519364	0.6845958762212107	0.3935512170902287	0.502500424081309	-1.4839261794058434	0.971791067351301	rdh5
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1/32	0.43555928847870906	0.6350735432012145	0.3248237665820989	0.4503691487580021	-1.1663054548769367	0.969344866682634	cacybp
determination of dorsal/ventral asymmetry (GO:0048262)	1/35	0.465051515095078	0.650784163538623	0.3485502311153637	0.4620143025956088	-1.2246971834030516	0.937636852080944	bmp7a
positive regulation of nucleic acid-templated transcription (GO:1903508)	3/114	0.3281768406278474	0.5817095371128903	0.16038841370877782	0.3905853428686073	-0.8376309169475898	0.933290602152839	kiss1rb;unga;zgc:173577
erythrocyte development (GO:0048821)	1/38	0.49300688782312146	0.6671829739402722	0.3714498571270911	0.48107545966030135	-1.2909659346734392	0.9130125926336744	gata1a
cortical cytoskeleton organization (GO:0030865)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-0.9933838925870866	0.873651858974926	cdc42l2
myeloid cell development (GO:0061515)	1/43	0.5363989982049873	0.6957346017225774	0.407855641597618	0.513511838446026	-1.3710114007593155	0.8539714616942274	gata1a
eye morphogenesis (GO:0048592)	1/39	0.5019977485158467	0.6753064950272699	0.37890429088284655	0.48793373070953455	-1.2086012355688571	0.8329191976398121	rdh5
sterol biosynthetic process (GO:0016126)	1/28	0.39369940562870703	0.6265920117752661	0.29185100087555593	0.4400290089348191	-0.8864973811397766	0.8263641279741089	apoa1b
erythrocyte differentiation (GO:0030218)	2/81	0.4213582840656609	0.6350735432012145	0.25694999505848704	0.4168161494895324	-0.9473269923756028	0.8187479823298958	gata1a;klf1
axis elongation (GO:0003401)	1/41	0.5195052777519364	0.6845958762212107	0.3935512170902287	0.502500424081309	-1.24428250900616	0.814853625668766	pigp
response to lipid (GO:0033993)	2/73	0.37147721743039497	0.6085995334261334	0.2219470880976739	0.39652207043537	-0.8225631656609586	0.8145577692039917	fabp2;vtg1
regulation of mitotic nuclear division (GO:0007088)	1/42	0.52802750489093	0.6917925571324648	0.40074574142334	0.5088120087734542	-1.191919343128707	0.7611679215762721	ccne1
response to metal ion (GO:0010038)	1/41	0.5195052777519364	0.6845958762212107	0.3935512170902287	0.502500424081309	-1.1607839741443609	0.7601722463375468	mt2
male gamete generation (GO:0048232)	1/30	0.4150025847444254	0.6350735432012145	0.3085322013065436	0.4484133600982562	-0.8572967476236434	0.7539672254036408	sycp3
cardiac muscle cell development (GO:0055013)	1/45	0.5527003710049645	0.7017431676804605	0.4218255053673417	0.5223702148658588	-1.2661148286086752	0.7507291754760421	cmlc1
dorsal/ventral pattern formation (GO:0009953)	3/129	0.400426844982	0.6347554828033943	0.204702418625529	0.3905853428686073	-0.809732380660063	0.7410866608937403	sox21a;bmp7a;vox
regulation of translation (GO:0006417)	1/44	0.5446224162741001	0.6957346017225774	0.4148819044476007	0.5166022611854423	-1.2068233715665635	0.7333413536097633	cnot7
regulation of gene expression (GO:0010468)	7/315	0.3246933721522778	0.5784102182553447	0.08656806930811065	0.3905853428686073	-0.6488535253141279	0.7298784684159623	acta2;prmt2;sox21a;gata1a;zgc:86709;klf1;safb
BMP signaling pathway (GO:0030509)	1/46	0.5606354283190889	0.707841378771587	0.42868740852575327	0.5265399691675013	-1.214392392443421	0.702749987759658	bmp7a
regulation of cell differentiation (GO:0045595)	1/48	0.5760868894613512	0.7134007507850159	0.4421699224177837	0.5312884023268453	-1.2605404780012786	0.6951840145558956	gata1a
ion transmembrane transport (GO:0034220)	2/89	0.4691370745151288	0.6544751780272784	0.2920546519478888	0.4400290089348191	-0.9084830396468404	0.6875947309268508	p2rx4b;slc13a1
transcription from RNA polymerase II promoter (GO:0006366)	1/50	0.5909964386767211	0.7239305969698588	0.45533693853074736	0.5387756445442351	-1.2546714272396728	0.6598885245450932	ssu72
protein dephosphorylation (GO:0006470)	1/50	0.5909964386767211	0.7239305969698588	0.45533693853074736	0.5387756445442351	-1.2239459189722766	0.6437285882651407	ssu72
regulation of actin cytoskeleton organization (GO:0032956)	1/47	0.5684301089888617	0.7134007507850159	0.43546856688384034	0.5312884023268453	-1.112721689052542	0.6285507923871707	cdc42l2
positive regulation of cell cycle (GO:0045787)	1/46	0.5606354283190889	0.707841378771587	0.42868740852575327	0.5265399691675013	-1.0763379181199864	0.6228600108916748	ccne1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	3/137	0.4381356930265111	0.6367759911510708	0.22939851779111367	0.39724780907221247	-0.7525915963424796	0.6210586156429404	hes6;cnot7;her3
