Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Taurine and hypotaurine metabolism	1/14	0.3415783010692708	0.9959795958758689	0.30539450046800815	0.8570748884102163	-19.289725880139848	20.72060573550188	adob
Pyruvate metabolism	3/46	0.15260910598672844	0.8298120138028359	0.11216310918596951	0.5718675249523524	-10.54677582470315	19.82662536772495	ldhbb;me1;pck1
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.2798765265104438	0.992167161621398	0.25282409839794073	0.7855605914507445	-15.207011141962196	19.36471063276477	hpdb
Glycine, serine and threonine metabolism	1/44	0.7313731141085161	0.9959795958758689	0.6658053298759912	0.875395485295985	-60.73481235558333	18.999764481973795	agxtb
Glyoxylate and dicarboxylate metabolism	1/37	0.6688292173310678	0.9959795958758689	0.6034626578949218	0.875395485295985	-45.0629404112607	18.125510241771355	agxtb
Metabolism of xenobiotics by cytochrome P450	1/37	0.6688292173310678	0.9959795958758689	0.6034626578949218	0.875395485295985	-41.05289009657676	16.512561610690476	cyp1a
Fatty acid elongation	1/33	0.6267654874995576	0.9959795958758689	0.5627875135167212	0.875395485295985	-31.27823745878498	14.612655538448289	zgc:77118
Propanoate metabolism	2/32	0.24209344375217176	0.9573695275654066	0.1955864236554533	0.7762965257497383	-8.53887027969285	12.111802546234998	ldhbb;mlycd
Focal adhesion	16/234	0.00159025128284985	0.03458796540198436	2.8804090868248e-4	0.00626488976384409	-1.6756999626196922	10.797981383203505	col2a1a;egf;chad;myl2b;thbs4a;itgb4;col4a5;vcla;col9a3;lama2;col9a2;col9a1a;col9a1b;col1a1a;col1a1b;col1a2
Citrate cycle (TCA cycle)	1/34	0.6377567176635811	0.9959795958758689	0.5733289712111875	0.875395485295985	-23.891837808412603	10.74651014775108	pck1
ABC transporters	2/38	0.30791394671008904	0.992167161621398	0.2488495686345706	0.7855605914507445	-8.233015849763683	9.69795693916862	abca1a;cftr
Phenylalanine metabolism	1/16	0.37975164636464614	0.9959795958758689	0.33838378508413103	0.875395485295985	-8.192739239709562	7.932519834838641	hpdb
Other glycan degradation	1/24	0.5115892617472437	0.9959795958758689	0.4554900138113976	0.875395485295985	-9.321725736529196	6.247730061020896	neu3.2
beta-Alanine metabolism	1/35	0.6484248059494782	0.9959795958758689	0.5836180027661135	0.875395485295985	-13.241133171205568	5.736181140934283	mlycd
Glycerolipid metabolism	1/60	0.8335627042796562	0.9959795958758689	0.7741231116312621	0.9420094719400813	-29.676713775504396	5.402537408917604	lpin1
Tyrosine metabolism	1/32	0.6154413443884614	0.9959795958758689	0.5519874814570012	0.875395485295985	-10.991024427658388	5.335215106239848	hpdb
PPAR signaling pathway	2/66	0.5819594996892679	0.9959795958758689	0.4883279655160974	0.875395485295985	-9.294998375210014	5.031888471367573	adipoqb;pck1
Apelin signaling pathway	13/175	0.00205771473842261	0.03580423644855358	5.2741735363927e-4	0.00917706195332342	-0.7510661210831463	4.646214641497235	gngt1;gngt2a;ryr1b;myl4;myl2b;mef2b;gnb3b;adcy7;adcy1b;mef2ca;mef2cb;slc8a3;adcy1a
Cysteine and methionine metabolism	1/51	0.7821214040147216	0.9959795958758689	0.7184043235689643	0.9058141471086941	-18.59966020263561	4.570779120771644	ldhbb
