gene_id	WT_48hpf_R1	WT_48hpf_R2	WT_48hpf_R3	MT_48hpf_R1	MT_48hpf_R2	MT_48hpf_R3
tmem180	1353	1257	1068	627	1078	786
tmem181	1175	1053	847	607	955	877
tmem182a	3419	3031	2537	1078	2329	1452
tmem183a	1120	898	729	720	1206	990
tmem184a	702	652	527	375	731	515
tmem184ba	3280	2759	2240	1511	2678	2030
tmem184c	1332	1134	932	498	846	691
tmem185	1302	1119	911	473	884	619
tmem186	160	170	116	95	160	113
tmem189	1004	997	742	526	861	722
tmem192	485	423	339	278	553	434
tmem198b	707	620	581	210	359	293
tmem199	257	220	170	132	191	199
tmem2	2099	1809	1469	1150	1397	1565
tmem200a	124	136	106	39	74	51
tmem201	1216	1053	860	614	825	729
tmem203	509	483	392	308	507	425
tmem204	322	312	282	189	299	260
tmem205	526	459	383	343	521	362
tmem206	416	342	244	146	271	162
tmem209	1735	1642	1224	922	1587	1300
tmem214	3022	2775	2247	1861	2679	2631
tmem218	93	83	79	54	92	85
tmem222a	732	628	453	340	559	494
tmem223	347	304	226	146	286	215
tmem229b	416	359	303	190	363	296
tmem230a	146	136	105	78	167	111
tmem230b	464	420	310	200	335	290
tmem231	271	239	232	192	353	258
tmem232	3	2	7	7	5	2
tmem234	158.999	138	110	64	124	100
tmem237b	532	481	385	217	380	363
tmem238	429	403	316	237	573	390
tmem242	412	369	294	200	322	261
tmem243a	86	72	55	55	86	108
tmem243b	456	314	284	307	588	401
tmem244	45	49	37	7	21	15
tmem246	678	529	391	270	532	330
tmem248	445	439	347	177	346	286
tmem251	829	760	593	432	799	585
tmem254	1068	1020	708	628	773	827
tmem256	318	301	225	176	326	239
tmem258	2505	2266	1728	1388	2317	1832
tmem263	2784	2614	1954	1684	2923	2105
tmem264	51	27	26	10	22	16
tmem26b	7	4	2	2	2	5
tmem30aa	1893	1671	1403	740	1215	1013
tmem30ab	2354	2323	1782	1163	2223	1594
tmem30c	271	229	190	162	314	186
tmem33	2330	2045	1748	1881	3206	2391
tmem35	2575	2406	1890	1368	2233	1991
tmem37	33	28	22	13	12	20
tmem38a	17574	15750	12290	6532	13706	8121
tmem38b	308	273	273	295	323	363
tmem39a	785	790	704	668	674	788
tmem39b	979	801	655	438	808	659
tmem41aa	728	673	619	292	585	475
tmem41ab	678	548	461	207	754	242
tmem41b	526	474	417	275	470	326
tmem44	43	28	27	26	48	29
tmem45a	771	624	433	293	559	471
tmem45b	801	707	526	453	862	675
